Variant,Score,ScoreDiff,Probability,Generation
A,1,0.0,0.0,0.0
A,1,0.25,0.364198927758,1
A,1,0.25,0.364198927758,2
B,1.15,0.0,0.259725641869,3
B,1.15,-0.15,0.0209871613723,4
B,1.15,-0.15,0.0209871613723,5
B,1.15,-0.15,0.0209871613723,6
B,1.15,0.1,0.18932421675,7
B,1.15,0.1,0.18932421675,8
B,1.15,-0.15,0.0209871613723,9
B,1.15,-0.15,0.0209871613723,10
B,1.15,-0.15,0.0209871613723,11
B,1.15,-0.15,0.0209871613723,12
B,1.15,-0.15,0.0209871613723,13
B,1.15,0.1,0.18932421675,14
B,1.15,0.1,0.18932421675,15
B,1.15,-0.15,0.0209871613723,16
B,1.15,-0.15,0.0209871613723,17
B,1.15,-0.15,0.0209871613723,18
B,1.15,0.1,0.18932421675,19
B,1.15,-0.15,0.0209871613723,20
B,1.15,-0.15,0.0209871613723,21
B,1.15,0.1,0.18932421675,22
B,1.15,-0.15,0.0209871613723,23
B,1.15,0.1,0.18932421675,24
B,1.15,-0.15,0.0209871613723,25
B,1.15,-0.15,0.0209871613723,26
B,1.15,0.1,0.18932421675,27
B,1.15,0.1,0.18932421675,28
B,1.15,0.1,0.18932421675,29
B,1.15,0.1,0.18932421675,30
C,1.25,0.0,0.18932421675,31
C,1.25,-0.1,0.0422072504131,32
C,1.25,-0.1,0.0422072504131,33
C,1.25,-0.25,0.00656082462135,34
C,1.25,-0.25,0.00656082462135,35
C,1.25,-0.25,0.00656082462135,36
C,1.25,-0.25,0.00656082462135,37
C,1.25,-0.25,0.00656082462135,38
C,1.25,-0.25,0.00656082462135,39
C,1.25,-0.1,0.0422072504131,40
C,1.25,-0.25,0.00656082462135,41
C,1.25,-0.25,0.00656082462135,42
C,1.25,-0.1,0.0422072504131,43
C,1.25,-0.25,0.00656082462135,44
C,1.25,-0.25,0.00656082462135,45
C,1.25,-0.1,0.0422072504131,46
C,1.25,-0.25,0.00656082462135,47
C,1.25,-0.25,0.00656082462135,48
C,1.25,-0.25,0.00656082462135,49
C,1.25,-0.1,0.0422072504131,50
C,1.25,-0.1,0.0422072504131,51
C,1.25,-0.25,0.00656082462135,52
C,1.25,-0.25,0.00656082462135,53
C,1.25,-0.25,0.00656082462135,54
C,1.25,-0.25,0.00656082462135,55
C,1.25,-0.1,0.0422072504131,56
B,1.15,0.0,0.0422072504131,57
B,1.15,0.1,0.18932421675,58
A,1,0,0.0209871613723,59
A,1,0.15,0.259725641869,60
A,1,0.15,0.259725641869,61
A,1,0.25,0.364198927758,62
A,1,0.25,0.364198927758,63
A,1,0.25,0.364198927758,64
A,1,0.15,0.259725641869,65
A,1,0.15,0.259725641869,66
A,1,0.25,0.364198927758,67
A,1,0.25,0.364198927758,68
A,1,0.25,0.364198927758,69
B,1.15,0.0,0.259725641869,70
B,1.15,0.1,0.18932421675,71
B,1.15,0.1,0.18932421675,72
B,1.15,-0.15,0.0209871613723,73
